GroomMB,BrideMB,GroomInc,BrideInc,Outcome
INTP,ESFP,91501,61850.3,Success
ESFJ,ESFJ,63370.12,34705.78,Failure
ENTJ,INFJ,61835.16,79746.5,Success
ISTJ,ESFP,39983.14,66552.93,Failure
ENFP,INTJ,63581.9,35595.72,Failure
ESFP,ISTP,80292.84,87805.95,Success
ENTJ,ENTP,82352.22,60743.82,Failure
ESFJ,ENFJ,51417.75,37693.69,Success
ESTJ,INTJ,96078.01,75386.84,Failure
INFP,ISFJ,73201.56,77587.31,Success
ESFP,ESFJ,62008.3,78037.33,Failure
INFP,ISTP,45123.31,52521.65,Success
ESFP,ISFP,57377.91,46155.59,Failure
ISFP,ENFJ,67789.61,63360.77,Success
INTJ,ENFJ,57246.61,39781.28,Success
INTP,INFP,82979.07,80178.01,Success
ESTP,ENTJ,34305.94,53138.79,Failure
ESFJ,ESTP,46914.69,96849.06,Success
ENFP,ENFJ,74528.8,52274.79,Success
INTJ,INTJ,99799.35,76904.92,Failure
ISFP,INFP,51932.71,88070.9,Failure
ESFP,ENFP,60931.29,81934.75,Failure
ENFJ,ISFP,93427.1,99254.07,Success
ENFJ,INFP,78118.39,68078.51,Failure
ENFP,ISFJ,79323.52,59306,Failure
ENTP,ISFP,75387.51,81098.33,Success
ESTP,INTP,81236.81,46341.98,Failure
ESTP,INFP,41435.84,31517.73,Failure
INFP,INFP,75194.68,62532.74,Failure
ISTJ,INTJ,70243.64,74952.92,Failure
ISFP,INFP,51302.21,83161.09,Failure
INTP,ISTJ,83582.87,70184.72,Failure
INFJ,ENTP,36071.52,54612.44,Failure
INTJ,ESTP,38533.35,65716.07,Failure
ISTP,INFJ,45464.73,84482.97,Failure
ENFJ,ENFP,56772.9,32536.49,Failure
ISFP,ENTJ,77834.16,31053.11,Success
ISTJ,ISTP,77849.55,68420.36,Failure
ESTP,ESTP,75789.35,40089.67,Failure
ENTP,ENTJ,59577.54,91957.61,Failure
INFP,ESFJ,70792.71,97653.03,Failure
INTJ,INFP,96820.46,43607.8,Success
INFJ,ISTP,50874.64,95472.17,Success
ENTJ,INTP,63342.18,80500.16,Success
ENFJ,ISTJ,98411.42,70739.72,Failure
ENTP,ISFJ,49994.15,42373.94,Failure
ENFJ,ISTP,83717.16,32347.35,Failure
ENTJ,ESFJ,74437.7,95147.4,Success
ESFJ,ISTP,40033.26,52421.44,Success
ISTJ,INFP,94461.6,47682.09,Success
INTJ,INTP,57033.47,60861.54,Success
ESFP,ESFJ,99350.81,39014.59,Success
ISTJ,ENTP,88341.24,58723.97,Success
ESFJ,ESTJ,44192.27,64517.93,Success
ENFP,ENFJ,65888.25,94775.97,Failure
ISFP,ESTP,43397.45,46171.62,Failure
ENTJ,ENTP,31086.28,80340.22,Success
ENFP,ISTP,98890.17,94740.71,Failure
ENFP,ENFJ,63550.24,54197.76,Success
ENFJ,ESFP,49208.33,67083.45,Success
ESTP,ESTJ,69254.91,72604.12,Failure
ENFJ,INTP,38989.01,57021.23,Success
ENTP,ENTJ,91782.02,96911.37,Success
ISFP,ENTJ,41296.85,60343.77,Success
ENFP,ENTP,45870.39,39962.95,Failure
INTJ,ISTP,75284.68,32934.09,Success
INTJ,ESFP,75303.13,85100.03,Failure
INTJ,ISFJ,83350.68,32412.48,Failure
ESTJ,INFJ,81193.11,90225.17,Success
INTJ,INFJ,43536.5,60558.79,Failure
ISTJ,ISTJ,45964.34,99526.03,Failure
ENFP,INFP,65996.01,36652.67,Failure
ENTP,ESFP,32394.99,99037.71,Success
ISTJ,ISTP,94000.56,32487.58,Failure
INFJ,ESFJ,77206.11,95894.03,Failure
ISTJ,ISTP,94164.69,94240.62,Success
ENTJ,ENFP,30764.55,82981.54,Success
INFP,ISTP,98923.74,64826.25,Failure
INFP,INFJ,43678.94,96610.24,Failure
ISFP,ENFP,90725.61,56868.87,Failure
ENFJ,ENFP,79256.16,72280.76,Failure
ESTP,INFJ,74922.34,71446.24,Failure
INFP,ISFJ,50371.92,85822.4,Success
ENTJ,ISFJ,45550.84,31228.29,Failure
INFP,INTJ,39985.11,36437.45,Failure
ESFJ,INFJ,48813.61,87799.43,Success
ESFP,INFJ,51699.18,62220.18,Success
INFJ,ESFJ,95373.53,30239.34,Success
ENTJ,ISTJ,98791.37,85345.63,Failure
ENTP,ENTJ,30131.25,91622.23,Failure
ISTP,ISFP,39506.43,95591.07,Failure
ISFP,ESTJ,52995.77,30803.61,Success
ISTJ,ENTJ,82663.73,37988.59,Success
ISFJ,INTP,58637.92,51054.39,Success
ESTJ,INTJ,52499.88,97231.82,Success
INFP,ESFJ,32451.99,99980.83,Failure
ISTP,ENTP,37668.82,62892.73,Failure
INTP,ESTP,67965.04,99625.27,Failure
ENFJ,ESFJ,44292.39,80242.36,Success
ISFP,ESTJ,44229.34,35011.94,Success
ESTP,ESTP,49717.88,79200.01,Failure
INFP,ESFJ,38908.9,79231.28,Failure
ESFP,ISFP,87668.9,33988.03,Failure
ISFP,INFP,74252.59,82540.63,Failure
ISTJ,ESTP,45977.27,73236.7,Failure
INTP,ISFP,94519.89,47878.8,Failure
INFP,ESTP,35115.71,53431.31,Failure
ENFP,INFJ,42360.48,43355.17,Success
INFJ,ISFJ,36136.25,57944.18,Success
ENFP,INTP,88702.19,39953.8,Failure
INFP,ISTJ,96636.92,30882.16,Failure
INTP,ISTP,45496.25,82570.65,Success
ISFP,ESTP,92614.95,32950.51,Success
ENTP,ISFP,62193.15,70792.48,Success
ENTJ,ENFJ,61266.51,48122.62,Success
INFP,ISTP,96087.57,42926.37,Failure
ESTP,ESTP,38568.13,61608.61,Failure
INFJ,INTJ,94647.6,67081.77,Failure
ISTP,ESTP,72707.71,80115.29,Failure
INFJ,ISTJ,77774.97,41319.94,Failure
ISTJ,ESTP,73870.65,78390.17,Success
ESTJ,ESFJ,79129.65,35132.24,Success
ENFJ,INFP,92688.74,76750.03,Failure
ENTJ,INTP,44949.49,72027.96,Success
ESFJ,ISTP,59240.17,48106.42,Failure
ISTJ,INTJ,93994.28,35387.44,Success
ENFP,INFJ,78525.01,86001.13,Success
ISFJ,ENTP,49382.45,71001.05,Failure
INTJ,INFJ,87697.81,57210.81,Success
INTP,INFJ,60300.82,84049.58,Failure
ESFP,ISFP,67385.64,31436.65,Failure
ISFJ,ISFP,60798.35,33569.41,Failure
ENTP,ENFP,41997.12,61586.28,Failure
INFJ,ESTJ,31632.75,58277.74,Failure
ESTP,ESFP,47313.74,78154.02,Failure
ISFP,ESTJ,66874.7,79138.09,Failure
ESFJ,INTJ,83021.6,30550.07,Failure
ESTJ,INTJ,72663.4,36190.63,Failure
INFP,ENFP,44906.24,91410.52,Success
ISTP,ENFJ,49334.82,70791.4,Failure
INTP,INFP,62251.55,30426.07,Success
ENFP,ESTJ,47870.15,85767.7,Success
ESFP,ISTP,34858.13,48838.93,Failure
ISFP,ENFP,84438.92,36571.16,Success
ISFJ,INFP,87549.21,36153.42,Success
ESFJ,INTP,84674.7,61885.53,Failure
ISFP,ESTJ,91609.51,96492.77,Failure
INTP,ESTJ,34829.24,98014.89,Failure
ESTP,INFJ,92247.24,61479.84,Failure
INFP,INFP,89154.74,82361.98,Failure
ISTJ,ISTP,67163.86,75506.86,Success
ENFJ,ISFP,45801.37,43526.24,Failure
ENFJ,ISTP,89978.28,45778,Failure
INFJ,ISFP,81432.32,31997.68,Failure
INFP,INTP,96047.67,43593.82,Failure
ESTJ,ENFJ,82489.17,59201.54,Success
ESFJ,ENFP,61147.76,86686.69,Failure
INTJ,ISFJ,96785.53,43369.06,Failure
ISTJ,ENTP,86729.94,74675.67,Success
INFJ,INTJ,93132.1,36638.43,Failure
INFJ,INFP,30577.68,70180.62,Success
ESTJ,ENFJ,88273.81,72792.06,Success
ESFP,ISFP,76786.75,54243.29,Failure
ISTJ,ISFP,81733.92,64175.2,Success
ESTP,INFJ,30290.63,57241.9,Success
ISTP,INTJ,89867.09,70995.49,Success
ESFP,ISFP,85615.84,68139.81,Failure
ENTJ,ESTP,58086.81,65575.41,Success
ISFP,INTP,74511.25,67921,Success
INFJ,INFJ,55048.57,57743.1,Failure
ISFP,ENFJ,43773.29,44368.06,Failure
ISFJ,ENFP,82027.86,99223.84,Failure
ISTJ,ESFJ,86695.49,74184.26,Success
ISFP,INTJ,57329.53,59242.18,Failure
ENTJ,ISFP,91501.63,83513.49,Failure
ESFJ,ESFP,82296.25,35282.36,Failure
INFP,ISTJ,80718.89,74960.07,Failure
INFP,ENFJ,63967.22,69565.61,Success
ENFP,INTP,97594.47,82874.87,Failure
ISTP,ISTP,91790.86,53223,Failure
ISFJ,ESFJ,37747.38,45075.01,Failure
ISFJ,INFJ,68563.67,54921.58,Success
INFJ,ENFJ,98733.22,46689.11,Success
ISFJ,INFJ,94063.14,79443.12,Success
ISFJ,INFP,94746.01,85549.91,Success
ISFJ,INTP,34172.71,36010.28,Failure
INFP,ISFP,30382.1,49458.3,Success
ESFP,ESTJ,70624.61,36263.36,Failure
INFP,ESFP,54823.34,35642.92,Success
ESFP,ENTJ,38747.82,56653.51,Failure
ENFJ,ENFJ,54599.31,81916.69,Failure
ENTP,ENFP,75819.43,34370.45,Success
INFP,ENTP,51095.01,90704.21,Failure
INTJ,ISFJ,63518.36,98172.87,Success
ENTP,ISFP,37527.31,39754.48,Success
ESFJ,ISTJ,98250.11,94932.09,Failure
ENFP,INTJ,65664.14,80250.33,Success
INFJ,ISFP,53718.48,49365,Failure
ENTJ,INFP,79744.57,90308.83,Success
ISTJ,ISTP,78963.07,43416.53,Failure
INTJ,ISTJ,96904.91,58738.02,Failure
INFP,ISTP,36432.55,46867.92,Success
ISTP,ISFJ,50574.82,68988.85,Failure
ENFP,INTP,59465.4,81157.22,Success
ISFJ,ISFJ,30584.15,70107.73,Failure
ESTP,ESFP,44987.94,39587.47,Success
ISTJ,ISFP,67618.02,88595.97,Failure
ENFP,ISFP,61916.98,59633.06,Failure
ISTP,INTJ,39916.04,95226.97,Failure
ESTP,ISTP,81899.74,48773.58,Failure
ISFJ,ISTJ,78254.41,49901.77,Failure
INTP,INTP,75462.28,90485.07,Failure
ISTP,INTP,88613.21,58218.04,Success
ENTP,ISFP,71567.06,95149.75,Success
INTJ,ISFP,57108.52,83114.47,Success
ESTP,ENTJ,51713.94,99881.7,Failure
ESFJ,ISFP,70037.63,94776.2,Success
INTJ,ENFJ,30761.79,62706.6,Success
ESTJ,ENTJ,36669.99,47531.83,Success
ESFP,ISFP,54175.53,76692.56,Success
INTP,ESFP,34434.13,48494.34,Failure
INTP,ESFJ,96189.88,75944.9,Success
INFJ,INFP,76312.14,37297.83,Failure
INTJ,ISFP,48209.92,95192.48,Success
INFP,ESTP,97890.62,84650.81,Success
INTJ,ISTP,62329.63,64462.85,Success
ESFP,ESTJ,41454.24,51578.51,Success
INFP,INFP,49538.71,62994,Failure
INFJ,ESTJ,44587.41,72290.86,Failure
ESFP,ESFJ,36770.03,62609.17,Failure
INFP,ENTP,67967.86,75054.78,Failure
ISTP,ESFJ,55263.14,91148.12,Failure
ESTJ,INFP,76382.57,79891.11,Success
ENFJ,ISFJ,90713.65,53353.27,Failure
INTP,ENFJ,34532.74,95718.04,Failure
ISFP,INTP,32178.72,78932.43,Failure
ESTJ,ESTP,60064.43,80925.48,Success
ENTP,ISTP,98985.31,90712.18,Failure
ISTJ,ENFP,39747.54,38225.46,Success
ESTJ,ENTP,53878.44,74982.77,Success
INFP,ESTJ,90194.44,32620.82,Success
INTP,INTP,40315.69,41389.88,Failure
ISFP,ENFP,45777.07,68812.57,Failure
ESFJ,ESFJ,78900.52,65371.51,Failure
ISTJ,INFJ,32405.13,83769.99,Failure
ISFJ,ENTJ,57969.5,89740.32,Failure
ESTP,ISFJ,49780.66,69131.59,Success
ESFP,ESTJ,41802.74,73482.08,Success
ENTJ,ISFJ,57070.43,66932.59,Success
ESTJ,ENFP,51161.63,77208.68,Failure
INFJ,ENTJ,66183.11,44820.15,Success
INFJ,ISFP,78540.5,45717.76,Failure
ESFP,ESTJ,84800.96,91021.49,Success
INFJ,INFJ,58051.67,47853.03,Failure
ISTP,INFJ,77152.9,41539.12,Success
INTJ,ESTJ,99284.24,93644.26,Success
ESFP,ESFP,64773.83,32347.66,Failure
ESTJ,ESFP,87740.11,75489.82,Success
ENFP,ENFJ,38350.78,47012.72,Failure
ESFP,ESTP,78494.16,33518.01,Failure
INFJ,ESTP,82076.91,73391.99,Success
ISTP,ISFP,34639.34,52027.88,Success
ISFP,ISTJ,67845.82,36310.93,Failure
ESTP,ESFJ,96409.07,69515.58,Success
ISTJ,ESTJ,98573.01,91840.98,Success
ISTJ,ENTP,52728.72,44171.87,Success
ISFJ,ESTP,85770.45,70692.39,Success
ISFP,ESTP,73642.76,68960.51,Success
INFJ,ENFP,51960.59,51303.26,Success
ENTP,ESTP,51139.26,41357.1,Failure
ENFJ,ISFJ,90631.6,30261.86,Failure
ISFP,ISFP,45976.67,82340.29,Failure
ISTJ,INTJ,53870.92,52089.75,Success
INTP,INTP,48556.97,64273.93,Failure
INFP,ENFJ,32168.29,93224.43,Failure
INFP,ISFP,31967.86,90406.9,Success
ENFJ,INTJ,85677.09,78608.28,Failure
ISFJ,ENFJ,82812.55,98126.37,Failure
INTP,ESTP,62118.85,75078.71,Failure
ENTP,ENFJ,47225.53,50416.58,Failure
ISFJ,ENTP,91583.3,65792.02,Failure
ISFP,ENTJ,50103.42,90188.75,Failure
INTP,ISTP,59399.15,81956.9,Success
ENFP,ISFP,66150.39,91625,Success
ESTJ,ENFJ,89411.68,42591.28,Success
ESFJ,ESFJ,42114.7,87730.15,Failure
ESFP,ESTP,44002.83,82069.32,Success
ISTJ,INFJ,63777.24,41952.77,Success
ENFJ,INTP,35705.26,30935.18,Failure
ISTP,ISTJ,89602.19,80621.67,Success
ESTP,ENTJ,44084.12,83389.3,Failure
ESTJ,ENTP,62249.81,57806.01,Success
ISTJ,INFP,47973.53,45030.2,Failure
ENTP,ESFJ,41919.8,52619.82,Success
ISFP,INFJ,91664.56,65115.65,Success
ISTP,INFP,93429.39,97746.08,Failure
ISTJ,INFP,34571.16,36465.95,Failure
ENFP,ESFP,30657.77,88797.44,Success
ISFP,INTJ,83189.82,67395.63,Success
ESTP,ESFP,33386.2,80805.54,Failure
ESTP,INFP,83548.18,42050.39,Failure
ISTP,ESFP,55963.74,78148.12,Failure
INFP,ISFP,73341.74,32940.08,Failure
ESFJ,ENFP,47470.76,99464.9,Failure
ISFP,ISFP,59238.18,63367.97,Failure
ESTP,ENTP,80976.08,43674.37,Success
ENFJ,ISFP,93849.33,74281.22,Failure
ESFJ,ISFP,43319.06,42116.5,Failure
ENFP,ISTP,78822.57,40900.56,Failure
ISFJ,ISFJ,36100.9,56562.69,Failure
ISTP,INFP,54018.93,60223.48,Failure
ISTJ,ENTP,42207.78,70238.18,Failure
ESTJ,ESFJ,46079.4,94329.76,Failure
INFJ,INFJ,67503.77,35578.25,Failure
ENFP,ISFJ,48672.46,52405.71,Success
INTP,ENFJ,44239.66,93952.54,Failure
ENFJ,INFJ,91177.33,97075.06,Success
ENTJ,ENTP,56702.67,62893.73,Success
INFJ,INTP,88144.59,64477.73,Success
ISFJ,ESFP,33066.3,72899.04,Failure
ISTP,ESTJ,62660.15,82436.78,Failure
INFJ,INTJ,89759.54,47014.32,Failure
ESFJ,ESTP,94103.93,85832.07,Failure
ESFJ,ESTP,88514.56,61921.18,Success
ISFJ,ISTP,73393.62,98095.98,Success
INTJ,ESFJ,75712.06,48360.82,Success
ENTP,ISFJ,48958.64,38934.09,Failure
ENFP,ENFP,79831.9,50528.61,Failure
ENFJ,INTJ,89573.69,47446.67,Failure
ENTP,ENTJ,58575.42,93511.8,Failure
ISFJ,ESTP,79293.23,34729.65,Success
ESFJ,ISFJ,83151.04,93040.86,Success
ESTJ,ISTP,52451.74,94348.98,Success
INTP,ISTJ,37790.93,96117.58,Success
ESFJ,ENTJ,33688.74,63984.59,Failure
ENTP,ESFP,52470.34,87544.32,Success
ESFP,ISTP,87700.21,80428.47,Failure
ISFP,INFJ,71362.86,70585.75,Failure
INTJ,ISFJ,48302.04,93769.65,Success
ENFP,ENTJ,55983.4,34085.57,Failure
ENTJ,INFP,72504.4,78609.68,Success
ENFJ,ENFJ,46866.97,64235.34,Failure
INFJ,ISTJ,32495.86,99633.55,Success
ESTP,ENTJ,47981.81,54003.13,Failure
ESTP,ENFP,57912.43,48487.1,Success
ISFJ,ISTJ,92704.8,73853.97,Failure
ISTP,ISFP,78654.43,86697.84,Failure
ENTJ,ISTP,93967.99,55098.84,Failure
INTP,INTJ,56870.61,70123.76,Failure
ENFJ,ENTP,36725.14,82074.64,Success
INFJ,ISFJ,62816.57,96013.55,Success
ESFJ,ESTP,50685.89,47778.73,Failure
ENFJ,ISFJ,76799.96,49337.13,Failure
ISFP,ESTP,89466.42,92594.33,Failure
INFP,ENFJ,94372.89,74926.83,Success
ESTP,ISTJ,74273.54,44019.08,Failure
ENTP,ISTP,71568.49,93688.97,Success
ESTP,ISFJ,88606.31,78725.22,Success
ISFP,INFP,89111.71,92482.05,Failure
ISTP,ESFJ,55517.81,91091.62,Failure
ISFJ,INFJ,94276.88,93185.15,Success
ISFJ,INTP,74130.1,68713.48,Success
ENTP,ESTJ,90072.93,49011.07,Failure
INFP,ESFP,63617.69,34332.92,Success
ENFP,INTP,89966.06,57111.07,Failure
ENTP,ESTP,57741.7,51730.48,Failure
ESTJ,ESTJ,44848.32,80560.91,Failure
ISFP,ENTP,83790.91,33902.88,Success
ISFJ,ENFP,90924.69,34075.22,Success
INTJ,ENFP,92387.14,41528.23,Success
ISTP,ENTP,64887.72,60040.32,Success
INTP,ENFJ,71137.21,51992.83,Success
ISFP,ESFP,75781.42,82097.49,Success
ENTJ,INTP,86173.85,70731.77,Failure
ESTP,INFJ,81939.73,66351.96,Failure
ENTJ,INTP,37275.55,44265.52,Failure
ENFP,ISFP,37496.73,94525.27,Success
ENTP,ISTP,36619.94,72506.86,Success
ESFP,INFP,80694.47,66717.12,Failure
ISFP,ISTP,89372.45,45544.97,Failure
INFP,ENFJ,39087.62,57957.46,Failure
ISTJ,ENTJ,78186.85,48629.24,Success
ESFJ,ESFP,93521.49,91983.19,Failure
ENTP,ENFP,76967.53,46901.87,Success
ISTJ,INTJ,83563.1,91901.24,Failure
INTJ,INFJ,98673.16,97052.88,Success
ENFJ,ENFJ,35133,76921.97,Failure
ISFJ,INTJ,45900.59,41683.86,Failure
ISFP,ENFJ,85707.76,76601.18,Success
ISTP,INFP,93013.62,70305.75,Success
INTJ,ENTP,94831.79,30432.6,Success
INFP,ENTJ,61930.96,95156.07,Failure
ENTJ,ISFP,43200.81,38651.48,Failure
ENTP,INTP,93641.82,42638.7,Failure
ESFJ,ENFJ,40005.47,50335.23,Success
ENTJ,ESTJ,97001.9,74767.3,Failure
ESTP,ENTJ,31065.92,52582.7,Failure
ENTP,ISFJ,98907.18,55424.03,Failure
ESFP,ESTP,83806.03,81518.62,Failure
ISTJ,ISFP,54744.49,51166.21,Success
ISTJ,ESFP,99840,32890.51,Failure
INTJ,ENTP,88239.25,92669.62,Failure
INTJ,ISFP,33010.79,73729.84,Success
ENTP,ISTJ,63858.19,93360.83,Success
ENFP,INFP,74405.25,97730.25,Success
ISFP,ENTJ,30449.69,55494.96,Failure
ISFP,ENTP,32497.38,68325.91,Failure
ENTJ,ISTP,52021.17,84102.2,Failure
INTJ,ENTP,31737.4,58085.84,Failure
INTP,ENFP,65369.47,52981.84,Success
ESTP,ISTP,61934.39,68130.5,Success
ESTJ,ESFP,50724.25,87582.92,Success
INFJ,INTJ,50172.78,46222.9,Failure
INTP,ENTP,47107.58,67693.65,Failure
ESFJ,ENTJ,95065.2,93102.24,Success
ENFP,ISTP,65581.04,54408.43,Failure
ESFJ,INFP,79865.94,83274.26,Failure
ESFP,ISTJ,45019.29,74392.03,Success
INTJ,INFP,68438.05,57474.44,Success
ESFJ,ISFJ,90345.05,70353.73,Success
INTJ,INTJ,55349.77,55748.93,Failure
ISTJ,ENTP,66087.39,81982.92,Failure
ISTP,INTJ,73030.1,52757.84,Success
INFJ,ISFJ,85570.58,61470.84,Failure
ISTP,ISFJ,52761.04,50624.51,Success
ESTJ,ENTP,69357.54,80110.45,Failure
ENFJ,ESFJ,66560.26,52648.84,Success
ENTJ,ENTJ,39226.46,48773.24,Failure
ISFP,ENFP,83799.5,42305.22,Success
ENFP,INFP,97095.33,50198.89,Failure
ESFP,ESTP,55076.25,92871.86,Success
ESFJ,ISFJ,40974.6,80499.84,Failure
ENFJ,ESFJ,33229.19,66996.71,Success
ISTP,ESTP,68754.78,86495.02,Failure
ISTJ,ESFJ,61788.7,48547.18,Success
ESFJ,ISFP,32814.01,57510.07,Failure
ESFP,INTP,54936.64,84315.81,Success
ENTJ,ESFP,38198.77,55607.87,Success
ENTP,ISFP,91490.38,74646.26,Failure
ESFJ,ESTP,58172.69,96663.42,Success
ENFP,ISTP,77200.8,59337.14,Failure
ESFJ,ISTP,90704.69,88940.03,Failure
ESFP,ESTP,99880.13,81523.21,Failure
ESFP,ENFJ,95376.12,74054.53,Success
ESFJ,ENFJ,43321.54,77593.57,Failure
ESFP,INFJ,38336.7,77978.97,Success
ESFJ,ISFJ,45592.4,83068.52,Success
ISFJ,ESTJ,49470.07,32073.33,Success
ESTJ,ISFJ,96063.36,31402.18,Failure
INTP,INFP,57732.58,99120.96,Failure
ENFJ,ENTP,47910.1,31784.06,Failure
ESFJ,ENTP,70846.51,98771.51,Failure
ENFJ,ENFP,40898.36,61250.2,Success
INFJ,INTJ,88310.98,40240.91,Failure
INTJ,ENFP,50723.6,62901.79,Failure
INFP,INFJ,40372.53,51571.84,Failure
ESFJ,INTJ,45629.36,46587.6,Success
ENTP,ENFJ,69343.93,48734.3,Success
ESFP,INFJ,60170.17,86476.55,Success
